ni,cu,mo,cr,fe,w,mn,si,c,al,ti,v,nb,ta,acid con,temp,Corr
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,80,112.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,85,112.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,112.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,112.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,5,125,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,10,125,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,15,125,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,20,125,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,25,125,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,30,125,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,35,125,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,40,125,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,45,125,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,50,125,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,55,125,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,60,125,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,65,125,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,70,125,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,75,125,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,80,125,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,85,125,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,125,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,125,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,5,137.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,10,137.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,15,137.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,20,137.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,25,137.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,30,137.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,35,137.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,40,137.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,45,137.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,50,137.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,55,137.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,60,137.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,65,137.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,70,137.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,75,137.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,80,137.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,85,137.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,137.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,137.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,5,150,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,10,150,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,15,150,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,20,150,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,25,150,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,30,150,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,35,150,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,40,150,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,45,150,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,50,150,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,55,150,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,60,150,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,65,150,3
